1.526; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
11.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
21.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
31.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
41.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
51.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
61.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
71.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
81.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
91.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
101.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
111.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
121.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
131.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
141.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
151.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
161.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
171.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
181.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
191.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
201.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
211.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
221.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
231.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
241.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
251.531; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
261.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
271.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
281.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
291.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
301.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
311.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
321.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
331.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
341.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
351.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
361.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
371.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
381.527; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
391.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
401.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
411.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
421.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
431.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
441.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
451.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
461.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
471.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
481.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
491.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
501.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
511.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
521.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
531.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
541.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
551.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
561.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
571.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
581.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
591.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
601.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
611.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
621.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
631.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
641.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
651.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
661.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
671.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
681.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
691.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
701.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
711.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
721.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
731.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
741.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
751.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
761.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
771.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
781.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
791.535; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
801.533; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
811.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
821.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
831.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
841.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
851.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
861.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
871.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
881.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
891.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
