2.386; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
12.371; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
12.498; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
12.592; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
12.672; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
12.784; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
32.374; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0000 0000 006F 014B 003C 0023 0023 001F 001C 0080 2200 0000 0000 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 8694 FF82 003C 000A 737F ; 737F; CRC OK;
32.467; R; CW 0xB420; AW 0xB080: 0FF1 0D01 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 490C ; 490C; CRC OK;
32.561; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE B6CF ; B6CF; CRC OK;
32.673; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
32.768; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0000 0000 006F 0094 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1500 000A 0EE7 ; 0EE7; CRC OK;
32.863; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
37.371; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0001 0000 007A 0150 003C 0023 0023 001F 001D 0084 2200 0000 0001 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 869F FF82 003C 000A 2E5C ; 2E5C; CRC OK;
37.512; R; CW 0xB420; AW 0xB080: 0FF1 0D01 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 490C ; 490C; CRC OK;
37.577; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE B6CF ; B6CF; CRC OK;
37.670; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
37.764; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0001 0000 0079 0094 0317 003F 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2E00 000A 597E ; 597E; CRC OK;
