3.695; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
13.682; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
13.794; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
13.889; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
13.984; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
14.096; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
33.675; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0000 0000 006F 014C 003C 0024 0023 001E 001D 0080 3000 0000 0000 0000 0000 0000 007F 000A 000B 0061 AE01 0000 0002 5202 000F 9232 FF82 003C 000A 39D2 ; 39D2; CRC OK;
33.785; R; CW 0xB420; AW 0xB080: 0FF1 0D01 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D23B ; D23B; CRC OK;
33.876; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2DF8 ; 2DF8; CRC OK;
33.985; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
34.080; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0000 0000 006F 0182 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1500 000A 954F ; 954F; CRC OK;
34.172; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6701 ; 6701; CRC OK;
38.684; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0001 0000 007A 0151 003C 0023 0023 001E 001E 0084 3000 0000 0001 0000 0000 0000 007F 000A 000B 0061 AE01 0000 0002 5202 000F 923D FF82 003C 000A 0C31 ; 0C31; CRC OK;
38.780; R; CW 0xB420; AW 0xB080: 0FF1 0D01 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D23B ; D23B; CRC OK;
38.874; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2DF8 ; 2DF8; CRC OK;
38.984; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
39.077; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0001 0000 0079 0182 031B 0033 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2E00 000A 6BDA ; 6BDA; CRC OK;
