1.615; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.598; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
12.574; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0116 0033 ; A88C; CRC BAD;
12.634; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
12.683; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
12.741; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 000A 
12.776; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
12.833; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
12.884; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 012D 0052 ; C444; CRC BAD;
12.975; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
13.084; R; CW 0xECC4; AW 0xE800: 0FF1 0D26 012A 0052 ; DAC3; CRC BAD;
13.177; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
13.283; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
13.376; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
13.469; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
13.579; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0128 0052 ; B8D0; CRC BAD;
13.778; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
13.870; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
17.575; R; CW 0xEC24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
17.683; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0125 0052 ; F7EC; CRC BAD;
17.777; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
17.869; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 012D 0052 ; C444; CRC BAD;
17.977; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
18.070; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
18.177; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
18.269; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0127 0052 ; 106F; CRC BAD;
18.378; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
18.470; R; CW 0xED44; AW 0xE800: 0FF1 0D2A 012F 0052 ; FF07; CRC BAD;
18.578; R; CW 0xED64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
18.778; R; CW 0xED84; AW 0xE800: 0FF1 0D2C 012C 0052 ; 7DC4; CRC BAD;
18.871; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
22.571; R; CW 0xEC24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
22.680; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0125 0052 ; F7EC; CRC BAD;
22.773; R; CW 0xEC64; AW 0xE800: 0FF1 0D23 0129 0052 ; 0150; CRC BAD;
22.883; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
22.974; R; CW 0xECA4; AW 0xE800: 0FF1 0D25 0131 0053 ; 20C9; CRC BAD;
23.083; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
23.176; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
23.284; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
23.377; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
23.469; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
23.578; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0128 0052 ; B8D0; CRC BAD;
23.780; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
23.874; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
27.573; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0116 0033 ; A88C; CRC BAD;
27.682; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
27.775; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
27.882; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 012D 0052 ; C444; CRC BAD;
27.975; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
28.083; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
28.176; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
28.269; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0127 0052 ; 106F; CRC BAD;
28.377; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
28.470; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
28.578; R; CW 0xED64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
28.780; R; CW 0xED84; AW 0xE800: 0FF1 0D2C 012C 0052 ; 7DC4; CRC BAD;
28.874; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
32.569; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0116 0033 ; A88C; CRC BAD;
32.677; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0125 0052 ; F7EC; CRC BAD;
32.770; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
32.879; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
32.971; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.080; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.173; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
33.281; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.376; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.483; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.576; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0128 0052 ; B8D0; CRC BAD;
33.776; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.869; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
37.582; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0116 0033 ; A88C; CRC BAD;
