2.316; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
12.308; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
12.340; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
13.294; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D88F 0001 0000 0000 0000 0000 0005 0000 0000 0000 0000 0000 0000 97A5 ; 97A5; CRC OK;
13.337; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
13.391; R; CW 0xEC40; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.432; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
13.501; R; CW 0xEC60; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.542; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
13.596; R; CW 0xEC80; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.638; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
13.691; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 F37A 0000 F3EB 0000 E5CC 0000 E22E 0000 DD09 0000 D6C5 0000 E29A 0000 E142 0000 D2ED 0000 9095 0002 FEFE FEFE 28CE ; 28CE; CRC OK;
13.801; R; CW 0xECC0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.894; R; CW 0xECE0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.990; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0003 0000 0004 0000 0003 0000 0004 0000 0004 0000 0004 0000 0003 0000 000E 0000 0068 0000 01EE 0000 FEFE FEFE 872C ; 872C; CRC OK;
14.102; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 006E 0000 006A 0000 0067 0000 0067 0000 0065 0000 0066 0000 0061 0000 0009 0000 0004 0000 0006 0000 FEFE FEFE DA82 ; DA82; CRC OK;
14.197; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 0000 0000 0000 46BC F716 0000 48C9 0001 72EF 0002 3CD3 0007 B722 001A 8B16 0065 02DC 014E 9745 005E 4B59 0005 E956 0001 FEFE FEFE 4B89 ; 4B89; CRC OK;
