1.615; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.609; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
11.640; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
12.599; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002A 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DD84 0001 0000 0000 0000 0000 0005 0000 0000 0000 0000 0000 0000 BD1F ; BD1F; CRC OK;
12.639; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
12.692; R; CW 0xEC40; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.733; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
12.785; R; CW 0xEC60; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.826; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
12.897; R; CW 0xEC80; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.937; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
12.990; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 F6DE 0000 FB6E 0000 EB48 0000 E905 0000 DDBA 0000 E40E 0000 DDE7 0000 CF14 0000 F5DB 0000 328B 0003 FEFE FEFE 27F2 ; 27F2; CRC OK;
13.087; R; CW 0xECC0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.194; R; CW 0xECE0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.288; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0003 0000 0003 0000 0003 0000 0004 0000 0004 0000 0003 0000 0003 0000 000D 0000 004B 0000 02AF 0000 FEFE FEFE C137 ; C137; CRC OK;
13.399; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 006C 0000 0069 0000 0066 0000 0065 0000 0064 0000 0065 0000 0061 0000 0009 0000 0004 0000 0004 0000 FEFE FEFE D5B6 ; D5B6; CRC OK;
13.493; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 0000 0000 0000 46BC F223 0000 4219 0001 79E5 0002 529D 0007 D5C7 001A 16C0 0066 CDD8 014D 2D42 005F 3E65 0005 BFC8 0001 FEFE FEFE FDF7 ; FDF7; CRC OK;
13.586; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 0000 0000 0000 34BC 0027 0000 0023 0000 0022 0000 0022 0000 0023 0000 0024 0000 0025 0000 0037 0000 019A 0000 0820 0000 FEFE FEFE 8E56 ; 8E56; CRC OK;
13.792; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 0000 0000 0000 3DBC 003C 0000 003A 0000 0039 0000 0039 0000 003A 0000 003A 0000 0037 0000 0005 0000 0003 0000 0005 0000 FEFE FEFE 9255 ; 9255; CRC OK;
13.886; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 0000 0000 0000 46BC A996 0000 13D4 0001 AC89 0002 39D5 0008 3ADF 001C 889C 0065 C2EC 014C E02E 005D 39BF 0005 4971 0001 FEFE FEFE 62E8 ; 62E8; CRC OK;
17.588; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002A 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DD84 0001 0000 0000 0000 0000 0005 0000 0000 0000 0000 0000 0000 BD1F ; BD1F; CRC OK;
17.699; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 25FF ; 25FF; CRC OK;
17.793; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE DF77 ; DF77; CRC OK;
17.887; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 75F4 ; 75F4; CRC OK;
17.997; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 F6DE 0000 FB6E 0000 EB48 0000 E905 0000 DDBA 0000 E40E 0000 DDE7 0000 CF14 0000 F5DB 0000 328B 0003 FEFE FEFE 27F2 ; 27F2; CRC OK;
18.090; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DEAD 0000 D898 0000 D124 0000 D8D3 0000 D8A6 0000 D98F 0000 D291 0000 EAFF 0000 08D1 0001 4968 0002 FEFE FEFE 8869 ; 8869; CRC OK;
18.198; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A8D0 0000 A5E7 0000 9FB5 0000 A5A0 0000 AB51 0000 A83F 0000 B1A6 0000 B1FF 0000 BD2A 0000 38D0 0002 FEFE FEFE 67D2 ; 67D2; CRC OK;
18.293; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0003 0000 0003 0000 0003 0000 0004 0000 0004 0000 0003 0000 0003 0000 000D 0000 004B 0000 02AF 0000 FEFE FEFE C137 ; C137; CRC OK;
18.389; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 006C 0000 0069 0000 0066 0000 0065 0000 0064 0000 0065 0000 0061 0000 0009 0000 0004 0000 0004 0000 FEFE FEFE D5B6 ; D5B6; CRC OK;
18.499; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 0000 0000 0000 46BC F223 0000 4219 0001 79E5 0002 529D 0007 D5C7 001A 16C0 0066 CDD8 014D 2D42 005F 3E65 0005 BFC8 0001 FEFE FEFE FDF7 ; FDF7; CRC OK;
18.593; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 0000 0000 0000 34BC 0027 0000 0023 0000 0022 0000 0022 0000 0023 0000 0024 0000 0025 0000 0037 0000 019A 0000 0820 0000 FEFE FEFE 8E56 ; 8E56; CRC OK;
18.797; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 0000 0000 0000 3DBC 003C 0000 003A 0000 0039 0000 0039 0000 003A 0000 003A 0000 0037 0000 0005 0000 0003 0000 0005 0000 FEFE FEFE 9255 ; 9255; CRC OK;
18.891; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 0000 0000 0000 46BC A996 0000 13D4 0001 AC89 0002 39D5 0008 3ADF 001C 889C 0065 C2EC 014C E02E 005D 39BF 0005 4971 0001 FEFE FEFE 62E8 ; 62E8; CRC OK;
22.588; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 0009 0009 0000 0009 0000 00FF 0000 00FE FEFE DD8D 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 CCBB ; CCBB; CRC OK;
22.697; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 25FF ; 25FF; CRC OK;
22.791; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE DF77 ; DF77; CRC OK;
22.899; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 75F4 ; 75F4; CRC OK;
22.993; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0009 0000 003D 0000 0201 0000 FEFE FEFE 8A8D ; 8A8D; CRC OK;
