10.703; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
20.696; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
20.728; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
21.688; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DDA7 0001 0000 0000 0000 0000 0005 0000 0000 0000 0000 0000 0000 9068 ; 9068; CRC OK;
21.729; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
21.783; R; CW 0xEC40; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
21.824; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
21.879; R; CW 0xEC60; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
21.921; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
21.989; R; CW 0xEC80; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
22.030; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
22.083; R; CW 0xECA0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
22.176; R; CW 0xECC0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
22.287; R; CW 0xECE0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
22.381; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0001 0000 0000 0000 0000 0000 34BC 0003 0000 0003 0000 0003 0000 0003 0000 0003 0000 0003 0000 0004 0000 000F 0000 0063 0000 027C 0000 FEFE FEFE F88C ; F88C; CRC OK;
22.477; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0005 0000 0000 0000 0000 0000 3DBC 006C 0000 0068 0000 0067 0000 0068 0000 0066 0000 0067 0000 0060 0000 000A 0000 0004 0000 0004 0000 FEFE FEFE C121 ; C121; CRC OK;
22.588; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0009 0000 0000 0000 0000 0000 46BC F38E 0000 44CE 0001 7F05 0002 540F 0007 E186 001A EB96 0065 BF50 014D 3859 005E 3FB8 0005 0882 0002 FEFE FEFE 4120 ; 4120; CRC OK;
22.680; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0002 0000 0000 0000 0000 0000 34BC 0027 0000 0022 0000 0021 0000 0023 0000 0026 0000 0025 0000 0026 0000 0035 0000 01D6 0000 0803 0000 FEFE FEFE E4F3 ; E4F3; CRC OK;
22.887; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0006 0000 0000 0000 0000 0000 3DBC 003B 0000 0039 0000 0038 0000 0039 0000 0039 0000 003A 0000 0036 0000 0005 0000 0003 0000 0004 0000 FEFE FEFE 0D4C ; 0D4C; CRC OK;
22.983; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000A 0000 0000 0000 0000 0000 46BC AB6A 0000 1594 0001 AF8A 0002 2AED 0008 07A9 001C 5144 0065 451C 014C CEFE 005D 3849 0005 F6E1 0001 FEFE FEFE 46F9 ; 46F9; CRC OK;
26.683; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DDA7 0001 0000 0000 0000 0000 0005 0000 0000 0000 0000 0000 0000 9068 ; 9068; CRC OK;
26.777; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0003 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0A14 ; 0A14; CRC OK;
26.886; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0007 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE F09C ; F09C; CRC OK;
26.980; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 5A1F ; 5A1F; CRC OK;
27.076; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0004 0000 0000 0000 0000 0000 34C0 F147 0000 F8C5 0000 E610 0000 E6E8 0000 E326 0000 D850 0000 ED94 0000 E133 0000 54AC 0001 A7FB 0002 FEFE FEFE 07B0 ; 07B0; CRC OK;
