1.294; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.273; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
11.304; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
11.336; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
11.382; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
11.478; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
11.573; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
12.272; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002C 0009 0009 000A 0001 FF00 000D 0404 1D00 FEFE 0001 0665 0000 0000 0000 0000 0005 0000 0000 FEFE FEFE FEFE FEFE 6E98 ; 6E98; CRC OK;
12.368; R; CW 0xEC40; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.463; R; CW 0xEC60; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.574; R; CW 0xEC80; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.668; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 E525 0000 E590 0000 E598 0000 D7AA 0000 DB96 0000 DC7B 0000 EB57 0000 0F61 0001 0CB8 0001 A48C 0002 FEFE FEFE C2A8 ; C2A8; CRC OK;
12.761; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DCE0 0000 D4EE 0000 D96E 0000 DD03 0000 D57C 0000 D0FA 0000 D82F 0000 E3A4 0000 F88A 0000 2B00 0002 FEFE FEFE D40B ; D40B; CRC OK;
12.873; R; CW 0xECE0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.969; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2ADC ; 2ADC; CRC OK;
13.063; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D054 ; D054; CRC OK;
13.172; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE CFED ; CFED; CRC OK;
13.266; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3AC7 ; 3AC7; CRC OK;
13.473; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 9044 ; 9044; CRC OK;
13.569; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6ACC ; 6ACC; CRC OK;
17.271; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002C 0009 0009 000A 0001 FF00 000D 0404 1D00 FEFE 0001 0665 0000 0000 0000 0000 0005 0000 0000 FEFE FEFE FEFE FEFE 6E98 ; 6E98; CRC OK;
17.366; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 CE83 0000 CAAC 0000 C4E8 0000 C813 0000 C234 0000 C67C 0000 D935 0000 AC56 0000 D1AF 0000 C9ED 0002 FEFE FEFE C982 ; C982; CRC OK;
17.461; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 0000 0000 0000 3DC0 D7C7 0000 CE4D 0000 CB4F 0000 CADD 0000 D31C 0000 D37A 0000 DE94 0000 F487 0000 10DF 0001 AA01 0002 FEFE FEFE 2BD3 ; 2BD3; CRC OK;
