1.376; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.376; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
11.408; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
11.439; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
11.470; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
11.563; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
11.672; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
12.363; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 000A 000A 000A FF00 000D 0401 1100 FEFE 0001 073F 0000 0000 0000 0000 0005 0000 0000 FEFE FEFE FEFE FEFE 3424 ; 3424; CRC OK;
12.460; R; CW 0xEC40; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.555; R; CW 0xEC60; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.662; R; CW 0xEC80; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
12.757; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 E4A3 0000 E43D 0000 DC9E 0000 D894 0000 DC54 0000 D33C 0000 FCA4 0000 CED1 0000 090D 0001 2651 0002 FEFE FEFE 098A ; 098A; CRC OK;
12.865; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DCF1 0000 D5B5 0000 D47E 0000 D7FB 0000 D7EE 0000 DE38 0000 E392 0000 EDFF 0000 E1E2 0000 50B8 0002 FEFE FEFE 2704 ; 2704; CRC OK;
12.959; R; CW 0xECE0; AW 0xE800: 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ; D6DA; CRC BAD;
13.067; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000B 0000 004D 0000 010E 0000 FEFE FEFE 05FB ; 05FB; CRC OK;
13.162; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000D 0000 0032 0000 01B2 0000 FEFE FEFE 6339 ; 6339; CRC OK;
13.257; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 0000 0000 0000 46BC EF3A 0000 45D1 0001 83E8 0002 313A 0007 F809 001A 4E18 0065 6356 014C 5304 005F 67B1 0005 BC73 0004 FEFE FEFE 0204 ; 0204; CRC OK;
13.366; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 0000 0000 0000 34BC 0002 0000 0002 0000 0002 0000 0001 0000 0000 0000 0000 0000 0001 0000 0025 0000 00E6 0000 01D4 0000 FEFE FEFE 8F56 ; 8F56; CRC OK;
13.566; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 0000 0000 0000 3DBC 0001 0000 0002 0000 0001 0000 0001 0000 0000 0000 0000 0000 0002 0000 0029 0000 00F8 0000 0277 0000 FEFE FEFE 91C8 ; 91C8; CRC OK;
13.661; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 0000 0000 0000 46BC 9A29 0000 FC3E 0000 9032 0002 EED7 0007 9F37 001B 0E1E 0065 7AFA 014B FF9A 005E 358D 0005 CB42 0000 FEFE FEFE 1780 ; 1780; CRC OK;
17.366; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 000A 000A 000A FF00 000D 0401 1100 FEFE 0001 073F 0000 0000 0000 0000 0005 0000 0000 FEFE FEFE FEFE FEFE 3424 ; 3424; CRC OK;
17.460; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 CE32 0000 C5F5 0000 CA23 0000 C487 0000 C2AE 0000 C1B5 0000 CC98 0000 E809 0000 4A70 0001 E7D4 0002 FEFE FEFE D9B8 ; D9B8; CRC OK;
17.553; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 0000 0000 0000 3DC0 D81F 0000 D026 0000 C923 0000 C830 0000 C6AC 0000 C6AC 0000 D22E 0000 DFBF 0000 1E68 0001 7C92 0002 FEFE FEFE F90A ; F90A; CRC OK;
17.665; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 0000 0000 0000 46C0 158B 0001 0CEC 0001 09CD 0001 1004 0001 0BF6 0001 0AE5 0001 0E03 0001 18E5 0001 2FE4 0001 7498 0004 FEFE FEFE 3C59 ; 3C59; CRC OK;
17.759; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 E4A3 0000 E43D 0000 DC9E 0000 D894 0000 DC54 0000 D33C 0000 FCA4 0000 CED1 0000 090D 0001 2651 0002 FEFE FEFE 098A ; 098A; CRC OK;
17.856; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DCF1 0000 D5B5 0000 D47E 0000 D7FB 0000 D7EE 0000 DE38 0000 E392 0000 EDFF 0000 E1E2 0000 50B8 0002 FEFE FEFE 2704 ; 2704; CRC OK;
17.966; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A677 0000 A1A3 0000 A179 0000 A1C2 0000 9F57 0000 A19B 0000 9EEA 0000 CAA0 0000 DCCE 0000 3E29 0002 FEFE FEFE 0EAE ; 0EAE; CRC OK;
18.059; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000B 0000 004D 0000 010E 0000 FEFE FEFE 05FB ; 05FB; CRC OK;
