1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
17.133; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002C 000E 000E 000E 000E FF00 000D 0401 1100 FEFE 0001 07FA 0000 0000 0000 0000 0001 0000 0000 FEFE FEFE FEFE FEFE 8C41 ; 8C41; CRC OK;
17.242; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 CAD5 0000 C296 0000 C7D2 0000 C65B 0000 C172 0000 C19E 0000 BFED 0000 D286 0000 E50B 0000 25A0 0002 FEFE FEFE F34F ; F34F; CRC OK;
17.335; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 0000 0000 0000 3DC0 D65E 0000 D06D 0000 CAF6 0000 CBC6 0000 D2A9 0000 D1D9 0000 ED78 0000 EA88 0000 F6A0 0000 C265 0002 FEFE FEFE 30DA ; 30DA; CRC OK;
17.428; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 0000 0000 0000 46C0 1610 0001 1250 0001 0D6B 0001 10B8 0001 0A73 0001 0DBE 0001 0A93 0001 1EAE 0001 61D8 0001 BB04 0003 FEFE FEFE 32D5 ; 32D5; CRC OK;
17.538; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0002 0000 0000 0000 0000 0000 34C0 E919 0000 E9C1 0000 E944 0000 D8BA 0000 CF6E 0000 D21D 0000 F39E 0000 E331 0000 0572 0001 6C9F 0002 FEFE FEFE D0B8 ; D0B8; CRC OK;
17.633; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DD97 0000 D4BF 0000 D2AC 0000 D5F5 0000 D4EA 0000 D3BF 0000 CC7A 0000 FD2E 0000 FB3D 0000 8309 0002 FEFE FEFE C408 ; C408; CRC OK;
17.729; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A629 0000 A0DC 0000 A09C 0000 9E05 0000 9CF8 0000 A6D1 0000 9BE2 0000 B468 0000 D601 0000 1655 0002 FEFE FEFE 6ACE ; 6ACE; CRC OK;
17.838; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000E 0000 0042 0000 01D1 0000 FEFE FEFE 7001 ; 7001; CRC OK;
17.932; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0022 0000 005F 0000 01CF 0000 FEFE FEFE 1DB0 ; 1DB0; CRC OK;
18.043; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000D 0000 0002 0001 0002 0001 46BC 3B38 0000 000E 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 000C 0000 0043 0000 FEFE FEFE 00FE ; 00FE; CRC OK;
18.139; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 0000 0000 0000 34BC 0001 0000 0002 0000 0001 0000 0001 0000 0000 0000 0000 0000 0001 0000 002B 0000 0115 0000 0322 0000 FEFE FEFE 2015 ; 2015; CRC OK;
18.342; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 0000 0000 0000 3DBC 0001 0000 0001 0000 0001 0000 0000 0000 0000 0000 0001 0000 0002 0000 004A 0000 00DB 0000 0250 0000 FEFE FEFE E01E ; E01E; CRC OK;
18.435; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 0000 0000 0000 46BC A03F 0000 05A3 0001 9832 0002 082F 0008 6959 001B 8966 0064 B2A2 014E F2B1 005D 31F6 0005 FEED 0000 FEFE FEFE 280E ; 280E; CRC OK;
22.143; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000E 0000 000A 0001 000E 0000 002B 000A 000A 000A 0009 FF00 000D 0401 1100 FEFE 0001 0803 0000 0000 0000 0000 0005 0000 000E FEFE FEFE FEFE FEFE 551F ; 551F; CRC OK;
22.238; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 CAD5 0000 C296 0000 C7D2 0000 C65B 0000 C172 0000 C19E 0000 BFED 0000 D286 0000 E50B 0000 25A0 0002 FEFE FEFE F34F ; F34F; CRC OK;
22.332; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 0000 0000 0000 3DC0 D65E 0000 D06D 0000 CAF6 0000 CBC6 0000 D2A9 0000 D1D9 0000 ED78 0000 EA88 0000 F6A0 0000 C265 0002 FEFE FEFE 30DA ; 30DA; CRC OK;
22.443; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 0000 0000 0000 46C0 1610 0001 1250 0001 0D6B 0001 10B8 0001 0A73 0001 0DBE 0001 0A93 0001 1EAE 0001 61D8 0001 BB04 0003 FEFE FEFE 32D5 ; 32D5; CRC OK;
22.537; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0010 0000 000A 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 0035 0000 0275 0000 FEFE FEFE 3EC6 ; 3EC6; CRC OK;
22.630; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DD97 0000 D4BF 0000 D2AC 0000 D5F5 0000 D4EA 0000 D3BF 0000 CC7A 0000 FD2E 0000 FB3D 0000 8309 0002 FEFE FEFE C408 ; C408; CRC OK;
