1.473; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.453; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.485; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.518; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.565; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.659; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.752; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
17.445; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002B 000A 000C 000A 000A FF00 000D 0401 1100 FEFE 0001 08C9 0000 0000 0000 0000 0001 0000 0000 FEFE FEFE FEFE FEFE F252 ; F252; CRC OK;
17.557; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0002 0000 0000 0000 0000 0000 34C0 CCA3 0000 C90B 0000 C6FB 0000 C0E5 0000 C15C 0000 C43C 0000 CADF 0000 CA80 0000 041D 0001 8D82 0002 FEFE FEFE CF59 ; CF59; CRC OK;
17.652; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0006 0000 0000 0000 0000 0000 3DC0 D7A8 0000 D3FB 0000 D31B 0000 CCBE 0000 D08E 0000 C6B9 0000 DA2A 0000 D5AA 0000 093C 0001 1E02 0002 FEFE FEFE 4567 ; 4567; CRC OK;
17.745; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 000A 0000 0000 0000 0000 0000 46C0 12B0 0001 0F66 0001 078C 0001 0B55 0001 0706 0001 14A7 0001 109B 0001 251E 0001 612B 0001 459F 0003 FEFE FEFE 6895 ; 6895; CRC OK;
17.854; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0003 0000 0000 0000 0000 0000 34C0 E3B2 0000 E5CF 0000 E62A 0000 D962 0000 D372 0000 D9C6 0000 DB54 0000 F753 0000 0EE8 0001 DCE9 0002 FEFE FEFE 9592 ; 9592; CRC OK;
17.948; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0007 0000 0000 0000 0000 0000 3DC0 DB1E 0000 D58E 0000 D2E3 0000 D97C 0000 D596 0000 D3F5 0000 DB1F 0000 F530 0000 F1BF 0000 6D5F 0002 FEFE FEFE 6EBC ; 6EBC; CRC OK;
18.057; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000B 0000 0000 0000 0000 0000 46C0 A72F 0000 A0DC 0000 9D58 0000 A20A 0000 A5BD 0000 A90D 0000 AE45 0000 B59A 0000 FF9D 0000 0457 0002 FEFE FEFE 9494 ; 9494; CRC OK;
18.154; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0004 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000F 0000 004A 0000 00FB 0000 FEFE FEFE 49C0 ; 49C0; CRC OK;
18.246; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000E 0000 0003 0001 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 000B 0000 000C 0000 0008 0000 0096 0000 0044 0000 017A 0000 FEFE FEFE B833 ; B833; CRC OK;
18.357; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000D 0000 0002 0001 0002 0000 46BC 3995 0000 000E 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 000B 0000 0039 0000 FEFE FEFE 0389 ; 0389; CRC OK;
18.450; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0001 0000 0000 0000 0000 0000 34BC 0001 0000 0002 0000 0001 0000 0001 0000 0000 0000 0001 0000 0002 0000 0029 0000 0107 0000 01A7 0000 FEFE FEFE 1282 ; 1282; CRC OK;
