1.568; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.555; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.588; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.620; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.666; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.760; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.854; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
17.543; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 000E 0000 002D 000A 000A 000A 000A FF00 000D 0401 1900 FEFE 0001 09F5 0000 0000 0000 0000 0001 0000 0000 FEFE FEFE FEFE FEFE 3BAE ; 3BAE; CRC OK;
17.653; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0003 0000 0000 0000 0000 0000 34C0 CDAE 0000 C572 0000 C7D2 0000 C2AA 0000 C9E8 0000 C897 0000 CD6D 0000 BA5F 0000 E645 0000 4DDB 0002 FEFE FEFE 48E9 ; 48E9; CRC OK;
17.748; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0007 0000 0000 0000 0000 0000 3DC0 D99F 0000 CE2D 0000 CF07 0000 CDA3 0000 D6D1 0000 CE70 0000 CBFF 0000 D634 0000 DBC5 0000 91A2 0002 FEFE FEFE 8D6A ; 8D6A; CRC OK;
17.843; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 000B 0000 0000 0000 0000 0000 46C0 17E0 0001 0DCB 0001 0E18 0001 1394 0001 13A2 0001 0EF4 0001 0EFA 0001 35A0 0001 3455 0001 FC05 0002 FEFE FEFE 30AF ; 30AF; CRC OK;
17.952; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0004 0000 0000 0000 0000 0000 34C0 E27E 0000 DFDF 0000 D88B 0000 E04B 0000 DDA6 0000 D686 0000 C9F4 0000 C2BD 0000 E912 0000 2A80 0002 FEFE FEFE 5D85 ; 5D85; CRC OK;
18.047; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0008 0000 0000 0000 0000 0000 3DC0 DEEE 0000 D5FB 0000 D236 0000 D4CC 0000 D3E4 0000 D008 0000 D0BC 0000 DDF9 0000 FDA5 0000 7EE5 0002 FEFE FEFE D614 ; D614; CRC OK;
18.141; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000C 0000 0000 0000 0000 0000 46C0 A64F 0000 A196 0000 A2B9 0000 A903 0000 ADAC 0000 B28F 0000 9A7D 0000 B531 0000 D47E 0000 1B9B 0002 FEFE FEFE F2A3 ; F2A3; CRC OK;
18.252; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0001 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000B 0000 0044 0000 011D 0000 FEFE FEFE BF2E ; BF2E; CRC OK;
18.347; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000F 0000 0000 0001 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 000B 0000 000C 0000 0008 0000 007E 0000 004F 0000 01B1 0000 FEFE FEFE 84F7 ; 84F7; CRC OK;
18.455; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000D 0000 0002 0001 0002 0000 46BC 39C8 0000 000E 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 000E 0000 0031 0000 FEFE FEFE DAFB ; DAFB; CRC OK;
18.548; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0002 0000 0000 0000 0000 0000 34BC 0001 0000 0001 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0025 0000 00D6 0000 01C8 0000 FEFE FEFE 962A ; 962A; CRC OK;
18.754; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0006 0000 0000 0000 0000 0000 3DBC 0001 0000 0001 0000 0001 0000 0001 0000 0000 0000 0000 0000 0002 0000 002D 0000 00F1 0000 0271 0000 FEFE FEFE 75F7 ; 75F7; CRC OK;
18.849; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000A 0000 0000 0000 0000 0000 46BC A934 0000 057B 0001 8E55 0002 F65F 0007 AA88 001B 45A2 0065 5414 014D D426 005D 3EE2 0005 E3B8 0000 FEFE FEFE D019 ; D019; CRC OK;
22.548; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0010 0000 0005 0001 000E 0000 002C 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 09FE 0000 0001 0000 0004 010D 0000 0010 FEFE FEFE FEFE FEFE C8A5 ; C8A5; CRC OK;
22.644; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0003 0000 0000 0000 0000 0000 34C0 CDAE 0000 C572 0000 C7D2 0000 C2AA 0000 C9E8 0000 C897 0000 CD6D 0000 BA5F 0000 E645 0000 4DDB 0002 FEFE FEFE 48E9 ; 48E9; CRC OK;
22.753; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0007 0000 0000 0000 0000 0000 3DC0 D99F 0000 CE2D 0000 CF07 0000 CDA3 0000 D6D1 0000 CE70 0000 CBFF 0000 D634 0000 DBC5 0000 91A2 0002 FEFE FEFE 8D6A ; 8D6A; CRC OK;
22.846; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 000B 0000 0000 0000 0000 0000 46C0 17E0 0001 0DCB 0001 0E18 0001 1394 0001 13A2 0001 0EF4 0001 0EFA 0001 35A0 0001 3455 0001 FC05 0002 FEFE FEFE 30AF ; 30AF; CRC OK;
22.955; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0012 0000 0006 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0009 0000 0041 0000 023B 0000 FEFE FEFE 7E70 ; 7E70; CRC OK;
23.049; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0008 0000 0000 0000 0000 0000 3DC0 DEEE 0000 D5FB 0000 D236 0000 D4CC 0000 D3E4 0000 D008 0000 D0BC 0000 DDF9 0000 FDA5 0000 7EE5 0002 FEFE FEFE D614 ; D614; CRC OK;
