1.629; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.602; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.633; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.665; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.712; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.805; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.915; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
17.606; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 0060 0000 0000 0000 0000 0001 0000 0000 FEFE FEFE FEFE FEFE 8D77 ; 8D77; CRC OK;
17.699; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0000 0000 0000 0000 0000 0000 34C0 0000 C6A3 0000 C3A1 0000 C2F5 0000 BF8D 0000 BC40 0000 BE5B 0000 B74B 0000 CAF8 0000 E4E4 0002 7EAB FEFE FEFE A41A ; A41A; CRC OK;
17.795; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0004 0000 0000 0000 0000 0000 3DC0 0000 D437 0000 CB39 0000 C567 0000 CE5C 0000 C799 0000 D2A6 0000 D3BD 0000 CCDC 0000 DE11 0002 05D4 FEFE FEFE CFF1 ; CFF1; CRC OK;
17.906; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0008 0000 0000 0000 0000 0000 46C0 0001 1080 0001 0E22 0001 0B0D 0001 082D 0001 0EA7 0001 0F32 0001 1879 0001 0FAA 0001 5EC8 0003 528D FEFE FEFE E13C ; E13C; CRC OK;
18.001; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0001 0000 0000 0000 0000 0000 34C0 0000 DF78 0000 E09A 0000 D622 0000 D304 0000 D2A8 0000 D1D4 0000 C20B 0000 D407 0000 F59B 0001 E94E FEFE FEFE 0585 ; 0585; CRC OK;
18.096; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0005 0000 0000 0000 0000 0000 3DC0 0000 D9E7 0000 D147 0000 C9D0 0000 CF97 0000 CE70 0000 DA53 0000 C87F 0000 D8F8 0000 ECCE 0002 ABEC FEFE FEFE 65D2 ; 65D2; CRC OK;
18.221; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0009 0000 0000 0000 0000 0000 46C0 0000 A25F 0000 9CE4 0000 998C 0000 9EE2 0000 9F71 0000 9956 0000 98C9 0000 9D9C 0000 CA1D 0001 F2F2 FEFE FEFE 2F8D ; 2F8D; CRC OK;
18.300; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0002 0000 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000D 0000 004F 0000 00EB FEFE FEFE 619A ; 619A; CRC OK;
18.396; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0006 0000 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0015 0000 0045 0000 022F FEFE FEFE 32F8 ; 32F8; CRC OK;
18.506; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000A 0000 0000 0000 0000 0000 46BC 0000 EE7F 0001 3952 0002 775D 0007 3E8A 001A 6137 0065 DC40 0150 0302 005E 8476 0005 35C3 0004 F93F FEFE FEFE 7DAE ; 7DAE; CRC OK;
18.601; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0003 0000 0000 0000 0000 0000 34BC 0000 0001 0000 0001 0000 0001 0000 0001 0000 0000 0000 0001 0000 0001 0000 0023 0000 00F7 0000 03EE FEFE FEFE 168C ; 168C; CRC OK;
18.804; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0007 0000 0000 0000 0000 0000 3DBC 0000 0001 0000 0001 0000 0001 0000 0001 0000 0000 0000 0000 0000 0001 0000 0024 0000 00DB 0000 02BD FEFE FEFE 0F65 ; 0F65; CRC OK;
18.898; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000B 0000 0000 0000 0000 0000 46BC 0000 AEC0 0001 0C33 0002 901F 0007 E321 001B ACCE 0065 194A 014E A32A 005E 131A 0005 34E0 0000 D4E8 FEFE FEFE 2F35 ; 2F35; CRC OK;
22.601; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0001 0000 0005 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 0069 0000 0001 0000 0004 000D 0000 000C FEFE FEFE FEFE FEFE 01A6 ; 01A6; CRC OK;
22.696; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0000 0000 0000 0000 0000 0000 34C0 0000 C6A3 0000 C3A1 0000 C2F5 0000 BF8D 0000 BC40 0000 BE5B 0000 B74B 0000 CAF8 0000 E4E4 0002 7EAB FEFE FEFE A41A ; A41A; CRC OK;
22.805; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0004 0000 0000 0000 0000 0000 3DC0 0000 D437 0000 CB39 0000 C567 0000 CE5C 0000 C799 0000 D2A6 0000 D3BD 0000 CCDC 0000 DE11 0002 05D4 FEFE FEFE CFF1 ; CFF1; CRC OK;
22.899; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0008 0000 0000 0000 0000 0000 46C0 0001 1080 0001 0E22 0001 0B0D 0001 082D 0001 0EA7 0001 0F32 0001 1879 0001 0FAA 0001 5EC8 0003 528D FEFE FEFE E13C ; E13C; CRC OK;
