13.233; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
28.218; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.250; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
28.281; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
28.314; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
28.423; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
28.519; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
29.215; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0000 0000 0000 0001 0000 000E 002B 0009 0009 000A 000A FF00 0011 0401 1100 0015 119F 00C8 0000 0000 0000 0000 0001 0000 0000 FEFE FEFE FEFE FEFE 0C52 ; 0C52; CRC OK;
29.309; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 0000 C8C2 0000 C68C 0000 BF94 0000 BE9A 0000 B54C 0000 C26D 0000 C046 0000 C200 0001 2CE1 0003 ED64 FEFE FEFE CC9A ; CC9A; CRC OK;
29.404; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0004 0000 0000 0000 0000 0000 3DC0 0000 D2E1 0000 CDF7 0000 C8B8 0000 CF40 0000 C334 0000 CBAB 0000 CB97 0000 D31D 0000 CF45 0002 666D FEFE FEFE 4362 ; 4362; CRC OK;
29.514; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0007 0000 0000 0000 0000 0000 46C0 0001 12BC 0001 0B8D 0001 05C1 0001 0B0B 0001 11F8 0000 F8CA 0001 077C 0001 1D75 0001 87A5 0003 22A7 FEFE FEFE 6C9D ; 6C9D; CRC OK;
29.607; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0008 0000 0000 0000 0000 0000 34C0 0000 E0BE 0000 E3E1 0000 DC3B 0000 D629 0000 CB62 0000 CE4B 0000 D1C0 0000 F48C 0001 0B02 0004 2339 FEFE FEFE 67A5 ; 67A5; CRC OK;
29.703; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 000A 0000 0000 0000 0000 0000 3DC0 0000 D810 0000 CF01 0000 D005 0000 D4C4 0000 C760 0000 D560 0000 DA05 0000 DCC0 0000 FE9B 0001 D692 FEFE FEFE 0F61 ; 0F61; CRC OK;
29.813; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000B 0000 0000 0000 0000 0000 46C0 0000 A53C 0000 9E6C 0000 9E8A 0000 A34F 0000 9AAB 0000 A376 0000 A664 0000 C43D 0001 08F7 0001 B264 FEFE FEFE CA35 ; CA35; CRC OK;
29.907; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000C 0000 0002 0000 0002 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000E 0000 0054 0000 023D FEFE FEFE 0FBD ; 0FBD; CRC OK;
30.000; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000D 0000 0002 0000 0002 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0023 0000 003D 0000 0178 FEFE FEFE CE98 ; CE98; CRC OK;
30.111; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000E 0000 0002 0000 0002 0000 46BC 0000 3B55 0000 000F 0000 0002 0000 0000 0000 0000 0000 0000 0000 0004 0000 0052 0000 001D 0000 0047 FEFE FEFE 32A2 ; 32A2; CRC OK;
30.206; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0000 0000 0000 0000 0000 0000 34BC 0000 0001 0000 0001 0000 0001 0000 0000 0000 0000 0000 0000 0000 0002 0000 002B 0000 00DD 0000 025B FEFE FEFE B943 ; B943; CRC OK;
